actual_gloss,normalized_gloss
欢聚,TOGETHER
爱慕,LOVE
爱戴,LOVE
恋爱,LOVE
枕头,PILLOW
蚊帐,MOSQUITO_NET
毛毯,BLANKET
地毯,CARPET
坐垫,CUSHION
帘子,CURTAIN
首饰,JEWELRY
耳环,EARRINGS
项链,NECKLACE
手镯,BRACELET
戒指,RING
口红,LIPSTICK
香水,PERFUME
护肤霜,CREAM
肥皂,SOAP
牙刷（刷牙）,TOOTHBRUSH
牙膏,TOOTHPASTE
毛巾,TOWEL
手帕,HANDKERCHIEF
手表,WATCH
眼镜,EYEGLASSES
镜子,MIRROR
盆,POT
洗脸盆,WASH_BASIN
茶壶,TEAPOT
杯子,CUP
尺子,RULER
剪刀,SCISSOR
针,NEEDLE
线,STRING
按钮（开关）,PUSH_BUTTON
纽扣,BUTTON
盒子,BOX
锁,LOCK
钥匙,KEY
伞,UMBRELLA
温度计（寒暑表）,THERMOMETER
手电筒,FLASHLIGHT
电池,BATTERY
抹布,RAG
油,OIL
盐,SALT
酱,SAUCE
酱油,SOY_SAUCE
粉丝,FAN
粉条,VERMICELLI
香烟,CIGARETTE
天空,SKY
天文,ASTRONOMY
宇宙,UNIVERSE
星,STAR
恒星,STAR
行星,PLANET
卫星,SATELLITE
彗星,COMET
流星,METEOR
地球,EARTH
月亮,MOON
太阳,SUN
气象,METEOROLOGY
粥,PORRIDGE
面粉,FLOUR
面包,BREAD
面条,NOODLE
挂面,VERMICELLI
馒头,STEAMED_BUN
花卷,HANAMAKI
包子,STEAMED_STUFFED_BUN
饺子,DUMPLING
馄饨,RAVIOLI
饼,CAKE
烙饼,PANCAKE
馅儿饼,PIE
窝头,WOTOU
年糕,RICE_CAKE
粽子,ZONGZI
元宵（汤圆）,TANGYUAN
油条,CRULLER
汤,SOUP
快餐,FAST_FOOD
西餐,WESTERN_FOOD
蛋糕,CAKE
点心,DESSERT
饼干,BISCUIT
汉堡包,HAMBURGER
罐头,CAN
果脯,PRESERVED_FRUIT
肉,MEAT
蛋,EGG
饮料,DRINKS
牛奶,MILK
咖啡,COFFEE
豆浆,SOY_MILK
酒,LIQUOR
啤酒,BEER
汽水,SODA
冰淇淋,ICE_CREAM
冰棍儿（雪糕）,POPSICLE
茶,TEA
开水,BOILING_WATER
天气（气候）,WEATHER
天气预报,WEATHER_FORECAST
摄氏度,CELSIUS
晴,CLEAR
阴,NEGATIVE
云,CLOUD
雨,RAIN
家具,FURNITURE
床,BED
桌子,TABLE
椅子,CHAIR
凳子,STOOL
沙发,SOFA
茶几,COFFEE_TABLE
衣箱,SUITCASE
衣橱,WARDROBE
抽屉,DRAWER
床罩（床单）,BEDSPREAD
被子,BEDSPREAD
被套,BEDSPREAD
